basinid	lu_0100	lu_0200	lu_0500	lu_0600	lu_0700	lu_0901	lu_0902	lu_1000	lu_1100	lu_1400	lu_1500	lu_1600	lu_0000	rice	wheat	millet	potato	bean	craft_crop	veg_oa	veg_gh	flower_oa	flower_gh	other_oa	other_gh	orange_u	orange_o	apple	grape	pear_j	pear_w	peach	cherry	biwa	persimmon	chestnut	ume	plum	kiwi	pineapple	other_fruit
"9275"	18		40		16			1	6					6.29991917740559																											
"9276"	123	34	778		33				17					43.0494477122715	0	0.11428571428571	0.171428571428582	0.171428571428582	3.42857142857144	0	0	1.25714285714284	1.02857142857142	3.25714285714285	0.11428571428571	14.2285714285714	2.45714285714285	0	2.34285714285714	0.057142857142872	0	2.45714285714285	0	0.400000000000002	1.31428571428572	0.34285714285713	0.11428571428571	0	0.400000000000002	0	0.34285714285713
"9277"	175	266	620	14	54			73	35					61.2492142247766	0	0.89411764705879	1.34117647058832	1.34117647058832	26.8235294117648	0	0	9.83529411764696	8.04705882352938	25.4823529411764	0.89411764705879	111.317647058823	19.2235294117646	0	18.3294117647059	0.447058823529528	0	19.2235294117646	0	3.1294117647059	10.2823529411765	2.68235294117637	0.89411764705879	0	3.1294117647059	0	2.68235294117637
"9278"	24	18	127	3	11			3	13					8.39989223654078	0	0.06050420168067	0.090756302521014	0.090756302521014	1.81512605042017	0	0	0.665546218487388	0.544537815126048	1.72436974789916	0.06050420168067	7.53277310924369	1.30084033613445	0	1.24033613445378	0.030252100840344	0	1.30084033613445	0	0.211764705882354	0.695798319327732	0.18151260504201	0.06050420168067	0	0.211764705882354	0	0.18151260504201
"9279"	72	29	386		4			6				25		25.1996767096224	0	0.097478991596635	0.146218487394967	0.146218487394967	2.92436974789917	0	0	1.07226890756301	0.877310924369744	2.7781512605042	0.097478991596635	12.1361344537815	2.09579831932772	0	1.99831932773109	0.048739495798332	0	2.09579831932772	0	0.341176470588237	1.12100840336135	0.292436974789905	0.097478991596635	0	0.341176470588237	0	0.292436974789905
"9280"	1468	1210	1993	25	1105	43	29	99	285			33		513.967853995224	4.76201522290685	4.05351043643249	6.07703984819772	6.11252371916546	121.411764705883	0	0	44.7617209986563	36.4580709123082	115.421821631878	4.05028462998087	503.884629981024	87.2645736946461	0	82.9647058823528	2.02352941176523	0	87.0182163187853	0	14.3332452081957	46.59184700339	12.1508538899426	4.05351043643249	0	14.4175148711171	0	12.1886211969379
"9281"	645	554	942	25	617	28	15	66	90					327.478096778753	445.526909038861	0.00672268907563	0.010084033613446	0.010084033613446	0.201680672268908	0	2.87898089171981	19.8042866584836	2.52679633651218	0.191596638655462	0.00672268907563	2.27646523577587	23.0609122515391	0	13.8129743617192	0.003361344537816	0	0.14453781512605	0	15.5410274436832	2.54360305920126	0.02016806722689	0.00672268907563	0	22.9399038481778	0	2.4864602020584
"9282"	1342	137	1262	5	1008	54	48	122	134		2	12		642.049060434283	101.899383834723	0.755109785849846	0.758471130387662	4.87460016264573	0.201680672268908	0	0	3.12809963419952	0.910014893960508	9.54643534833293	0.380916237462738	3.83052317701271	1.05465017467661	0	0.13781512605042	0.003361344537816	0	0.892924911900266	0	0.630270984798408	2.79778935858501	1.14274871238821	0.755109785849846	0	0.933641771315268	0	2.36645295305516
"9283"	77	40	530	6	24			9	154			52		33.6658070411882	29.8064516129032	0.25806451612904	0.25806451612904	1.67741935483872	0	0	0	0.77419354838712	0.25806451612904	3.22580645161292	0.12903225806452	1.03225806451612	0	0	0	0	0	0.25806451612904	0	0	0.9032258064516	0.38709677419356	0.25806451612904	0	0	0	0.77419354838712
"9284"	43	18	548		4									18.800385750274	13.4129032258065	0.116129032258068	0.116129032258068	0.754838709677424	0	0	0	0.348387096774204	0.116129032258068	1.45161290322581	0.058064516129034	0.464516129032254	0	0	0	0	0	0.116129032258068	0	0	0.40645161290322	0.174193548387102	0.116129032258068	0	0	0	0.348387096774204
"9285"	290	4	45		632	23	4	57	78					134.287787813727	3.21348314606742	0	0	0	0	0	0	0.179775280898876	0.02247191011236	0	0	0	0.202247191011236	0	0	0	0	0	0	0.134831460674156	0.02247191011236	0	0	0	0.202247191011236	0	0.02247191011236
"9286"	530	340	940	24	704	83	12	52	107			8		193.003155915748	225.536596970566	0	5.38641577808472	0	0	25.9022082018927	0	0.241324921135638	5.11969783872564	0.160883280757092	0	29.9762820345699	0	0	1.11983471074389	2.32011106186605	0	41.1152918632845	0	0.080441640378546	1.84063534687279	0.559917355371809	0	0.080441640378546	0	0	0.559917355371809
